Unnamed: 0,Questions,Correct,A,B,C,D,Concept,Difficulty
46,"  The ratio of numbers of girls and boys participating in sports of a school is 4:5. If the number of girls is 212, determine the number of boys participating in the sports.",265,256,265,251,263,,
47,  The three numbers are in the ratio 1/2 : 2/3 : 3/4. The difference between greatest and smallest numbers is 36. Find the numbers.,"72, 84, 108","72, 84, 108","60, 72, 96","72, 84, 96","72, 96, 108",,
48,"  If A:B = 2:3, B:C = 4:5 and C:D = 6:7, then A:B:C:D is",16:24:30:35,18:24:30:35,16:24:30:35,16:22:30:35,16:24:15:35,,
49,  Find A:B:C:D when A:B = 2:3 ; B:C = 7:9 ; C:D = 5:7,70 : 105 : 135 : 189,70 : 105 : 135 : 189,105 : 115 : 236 :189,70 : 124 : 155 : 201,12 : 78 : 256 : 189,,
50,  285 is summation of 3 numbers. Ratio between 2nd and 3rd numbers is 6:5. Ratio between 1st and 2nd numbers is 3:7. The 3rd number is?,105,135,150,124,105,,
51,"  Shruti purchased several number of three articles P, Q and R in the proportion 3 : 2 : 3. If the unit costs of the articles P, Q and R are 200, Rs. 90 and Rs. 60 respectively, how many articles of Q must have been purchased in the total purchases of Rs. 4800?",10,8,10,12,14,,
52,"  In what ratio should the profit be divided if M, N, O invests capital in ratio 2:3:5 and their timing of their investments are in the ratio 4:5:6.",8:15:30,8:15:30,5:18:28,4:5:6,2:3:5,,
53,"   If the ratio of present ages of Jeet and Jay is 5:7 and after 6 years the ratio will be 3:4, what is the present age of Jay?",42,42,30,36,None of these,,
54,"  Find the value of x when y = 5, if x varies directly as 4y-1 and x = 14 when y = 2.",38,38,35,10,28,,
55,"  The third proportional to x2-y2, x-y is?",x â€“ y/(x + y),x + y,x â€“ y,x â€“ y/(x + y),1,,
56,"  A, B and C distribute Rs. 1,000 among them. A and C have Rs. 400, B and C Rs. 700. How much does C have?",Rs 100,Rs 100,Rs 50,Rs 200,Rs 300,,
57,"  Determine the number which should be subtracted from (14, 17) and (34, 42) to make remainders in same ratio?",2,1,2,4,7,,
58,  In what ratio must one add water to milk so as to gain 16.666% on the selling this mixture at the cost price?,1:6,1:6,1:3,6:1,3:1,,
59,  A number is multiplied by its one-third to get 192. Find the number.,24,16,20,24,28,,
60,  Summation of 5 consecutive numbers is found out to be 335. If we add the largest and smallest number what will we get?,134,134,150,174,226,,
61,  What will come in place of the question mark (?) in the following question? 112.36 + 225.05 + ? = 815.30,477.89,474.46,477.89,524.41,564.40,,
62,"  If 148 is multiplied first by 163 and then by 236, Which of the following numbers would come at the unit's place?",4,8,6,4,3,,
63,  What will come in place of (a) in the following expression? a - 796.21 + 498.05 = 215.50 â€“ 425.01,88.65,71.81,81.71,84.74,88.65,,
64,  The difference between a number and its two-fifth is 45. What is the number?,75,64,75,80,89,,
65,  8900 Ã· 6 Ã· 4 = ?,370.833,349,541.75,224.37,370.833,,
66,  The unit digit in the product (624 * 708 * 913 * 463) is:,8,2,5,6,8,,
67,  3/4th of a number exceeds its 2/3rd by 8. What is the number?,96,96,36,72,144,,
68,"   How many numbers between 100 and 600 are divisible by 2, 3, and 7 together?",12,11,12,14,cannot be determined,,
69,  3/4 part of tank is full of water. When 30 litres of water is taken out it becomes empty. The capacity of the tank is?,40 litres,36 litres,42 litres,40 litres,38 litres,,
70,  The sum of four consecutive integers is 1290. The greatest of them is?,324,321,322,323,324,,
71,  280 oranges are divided among some boys and girls whose total number is 50 so that each boy gets 5 oranges and each girl get 7 oranges. The number of girls is,15,30,35,15,20,,
72,  A boy was asked to multiply a number by 12. But he multiplied by 21 and got his answer 63 more than the correct answer. The number to be multiplied was,7,7,9,8,12,,
73,  The sum of 2 numbers is 36 and their product is 248. What will be the sum of their reciprocals?,9/62,9/62,65/248,212,248/36,,
74,"  In an area 2% families have 5 children each. But 8% have no children at all. Amongst the rest of the families 18% have 4 children and 27% have only one child. How many families live in the area, if 297 families have either 2 or 3 children each?",600,550,600,850,725,,
75,"  In a poultry farm having hens and pigs, Rohan can see 84 heads and 282 legs. How many hens are there?",27,54,30,27,57,,
76,  Square of difference between two numbers is 9 while the sum of squares of those two numbers is 225. What is their product?,108,108,125,169,96,,
77,  Average of 3 numbers is 87. The 1st number is 4 times the 2nd number and 5 times the 3rd number. What will be difference between first and third number?,144,99,144,132,169,,
78,"  Since Raj was not paying attention in class, instead of multiplying M by 3/4, he divided by 3/4. This led to a difference of 14 between the two answers. What is value of M?",24,12,30,24,10,,
79,"  If in a book a total of 3209 digits are used for numbering, then find out the total number of pages in the book.",1079,1079,1000,1100,1075,,
80,  A and B working separately can complete a piece of work in 9 and 12 days respectively. If they work alternatively starting from A in how many days will the work be completed?,10.25 days,10.25 days,11.5 days,12.75 days,9 days,,
81,"  What is the sum of this series? 1, 3, 5, 7, 9, ...... 99.",2500,2500,1500,3500,None of the above,,
82,"  What is the smallest number which is a perfect square and is divisible by 16, 20 and 24?",3600,2400,3600,7200,1600,,
83,  India has a run rate of 3.2 in the first 10 overs. What should be the run rate in remaining 40 overs to win a game of 282 runs?,6.25,6.25,5.5,7.25,8,,
84,"  Think of a number, divide it by 4 and add 9 to it. The result is 15. What is the number thought of?",24,24,25,26,27,,
85,  A pineapple costs Rs 7 each and a watermelon costs Rs. 5 each. If I spend Rs 38 on total what is the number of pineapple I purchased?,Data Inadequete,2,3,4,Data Inadequete,,
86,  Find the natural number nearest to 9217 which completely divides 88 without giving any remainder.,9240,9240,9064,9184,9152,,
87,"   A positive integer which when added to 100, gives a sum which is greater than when it is multiplied by 100. What is the number?",1,5,2,3,1,,
88,  The sum of two numbers is 73 and their difference is 28. Find the difference between their squares.,2044,101,45,2044,cannot be determined,,
89,"  If selling price of 40 articles is equal to cost price of 50 articles, the loss or gain percent is",25% gain,25% loss,20% loss,25% gain,20% gain,,
90,  Eleven bags are bought for Rs.1000 and sold at 10 for Rs.1100. What is the gain or loss in percentage?,21%,10%,21%,25%,20%,,
91,"  If selling price of 12 pens is equal to the cost price of 18 pens, find the profit percent.",50%,40%,33.3%,50%,25%,,
92,  A person sells a book for Rs. 11. He gains as many percent as its cost price in rupees. What is the cost price?,Rs. 10,Rs. 10,Rs. 12,Rs. 7.50,Rs. 5.50,,
93,  Shweta buys a product at 25% discount rate. At what % over the cost price should she sell the product to make an overall 25% profit over the listed price?,66.667,25,33.333,66.667,40,,
94,  C.P of 12 pens = S.P. of 8 pens. Calculate the gain percentage.,50%,25%,33%,37%,50%,,
95,  A person sold a stove for Rs. 423 and incurred a loss of 6%. At what price would it be sold so as to earn a profit of 8%?,Rs. 486,Rs. 525,Rs. 500,Rs. 490,Rs. 486,,
96,  A fruit seller buys lemons at 2 for a rupee and sells then at 5 for three rupees. His gain percent is,20%,10%,15%,20%,25%,,
97,"  A sells a car to B at 10% loss. If B sells it for Rs. 54000 and gains 20%, the cost price of the car for A was",Rs. 50000,Rs. 25000,Rs. 50000,Rs. 37500,Rs. 60000,,
98,"  Two bicycles were sold for Rs. 3990 each, gaining 5% on one and losing 5% on the other. The gain or loss percent on the whole transaction is",0.25% loss,Neither gain nor loss,2.5% gain,2.5% loss,0.25% loss,,
99,"  Chaman sells 40 fans at 10% profit. He wants a total of 20% profit on the entire sale. Since he got 160 fans at rate of Rs. 100 each, at what profit must he sell the remaining fans?",70/3%,70/3%,160/58%,30%,100/3%,,
100,  Uma wants to gain 15% profit on her sale of sugar. She buys 120 kg of sugar at Rs. 24 per kg to mix with 180 kg of sugar bought at Rs. 28 per kg. She sells the sugar mix at â€¦.,Rs. 9108,Rs. 8159,Rs. 9108,Rs. 9756,Rs. 8564,,
101,"  Rohit got profit of 11Â½% by selling his old car. However he realized that had he sold it for Rs. 8100 more, his profit would be 38.5%. At what price did he buy the car?",Rs. 30000,Rs. 44500,Rs. 55000,Rs. 41000,Rs. 30000,,
102,"  Rambabu sells paper planes at the rate of 20 planes for Re. 1. If he gets profit of 20%, how many planes did he buy in 1 rupee?",24,16,40,24,36,,
103,  A cheater manipulated his weighing machine so that it shows 1kg for 970 grams. How much profit does he get?,300/97%,397/100%,0.3 %,0.03%,300/97%,,
104,  Ajay incurred loss of 20% by selling a vase for Rs. 2880. To get a profit of 20% at what price should he sell the vase?,Rs. 4320,Rs. 4320,Rs. 5760,Rs. 1440,Rs. 3500,,
105,  A sold a car to B at a profit of 25%. B incurred loss of 15% while selling the same car to C. A spent Rs. 50000 for this car. At what price did C buy it?,Rs. 53125,Rs. 62500,Rs. 60000,Rs. 53125,Rs. 90000,,
106,"  What will be selling price, if cost price is Rs. 120 and gain is 35%?",Rs. 162,Rs. 135,Rs. 85,Rs. 155,Rs. 162,,
107,"  An article costs Rs. 600. What should be the marked price of an article so that after 10% discount, the trader makes 20% profit?",Rs. 800,Rs. 800,Rs. 950,Rs. 1100,Rs. 1040,,
108,"  A man buys 50 pens at marked price of 46 pens from a whole seller. If he sells these pens giving a discount of 1% , what is the profit percent?",7.6 %,5.3 %,7.6 %,10.6 %,12 %,,
109,"  By purchasing an article at 20 % discount on the original price and then selling it at a price of 25% above the original price, a trader earns Rs. 200 as the profit. What was the original price of the article?",Rs. 444.44,Rs. 444.44,Rs. 255.50,Rs. 100.10,Rs. 810,,
110,   Find the resultant profit if A sells a cupboard at a profit of 6% to B and B sells the same to C at a profit of 9%.,15.54%,15%,16%,14.5%,15.54%,,
111,"  Vijay sells a cupboard at 14% below cost price. Had he got Rs.2086 more, he would have made a profit of 14%. What is the cost price of the cupboard?",7450,7450,14900,7400,7500,,
112,"  If the money was put in for the same duration of time by A,B and C, three business partners and four times Aâ€™s capital is equal to 6 times Bâ€™s capital is equal to 10 times Câ€™s capital. Determine that out of a total profit of Rs 4650 what is Câ€™s share?",Rs 900,Rs 2250,Rs 1550,Rs 450,Rs 900,,
113,  The cost price of a particular amount of articles is same as the number of articles. Selling price of the articles comes out to be 20. Over the whole transaction 25% is gained. What is X?,16,15,18,16,20,,
114,  A trader purchases several articles at the rate of 13 for Rs. 10 and sells them at the rate of 10 for Rs. 13. What is his gain/loss?,69 % gain,69 % gain,56.25 % gain,56.25 % loss,25 % loss,,
115,"  A boy pays Rs. 369 for an article marked at Rs. 600, by enjoying two successive discounts. If the first discount is of 25%, how much should be the second discount?",18 %,20 %,10 %,25 %,18 %,,
116,"  If Harsh sold a match ticket for Rs.340 at a profit of 25%, at what price did he purchased the ticket?",272,280,255,300,272,,
117,   A shopkeeper sells his goods at cost price but uses a faulty meter that weighs 950 grams. Find the profit percent.,100/19%,100/17%,100/23%,100/19%,100/13%,,
118,   A boy incurs 5% loss by selling a book for Rs. 1000. At what price should the book be sold to earn 5 % profit?,Rs. 1105.26,Rs. 1105.26,Rs. 1251.50,Rs. 1085.13,Rs. 1885.13,,
119,  How many minimum number of square tiles are needed to cover a rectangular floor of dimension 5.25m and 5.10m completely?,1190,1190,1020,1080,1230,,
120,  Length of a rectangular ground is 15m more than its breadth. What will be its area if Length : Breadth is 7:4?,700 sq.m.,700 sq.m.,450 sq.m.,900 sq.m.,850 sq.m.,,
121,  The ratio of the areas of a square and rhombus whose base is same is:,1:1,1:2,2:1,1:1,3:1,,
122,"  If the length is increased by 25%, by what percent the width of a rectangle should be decreased so as to keep the area same.",20%,25%,20%,30%,10%,,
123,  Jayâ€™s room has a floor of 8m by 4m. He decides to tile the floor with tiles of 25cm x 20 cm. How many tiles will he need?,640 tiles,320 tiles,640 tiles,160 tiles,6.4 tiles,,
124,  Shyamâ€™s room has dimensions 6m x 5m x 4m. The room also has a door of dimension 2.5m x 1.2m and a window of dimensions 1m x 1m. What will be cost of painting the four walls of his room if rate of painting is Rs. 2 per sq.m.?,Rs. 168,Rs. 410,Rs. 84,Rs. 840,Rs. 168,,
125,  A rhombus has one of its diagonal 60% of the other. A square is drawn using the longer diagonal as side. What will be ratio of area of square to that of the rhombus?,10:3,3:10,2:3,10:3,3:2,,
126,  Anil has a rectangular farm and he builds a road along the border of the farm from outside. The road is 5m wide and has an area of 600 m2. What is ratio of breadth and length of the farm?,Cannot be determined,1:1,2:3,4:7,Cannot be determined,,
127,  What will be increase in area of an equilateral triangle if its side is increased by 20%?,44%,20%,40%,44%,33%,,
128,  Original breadth of a rectangular box is 20 cm. The box was then remade in such a way that its length got increased by 30% but the breadth decreased by 20%. This led to an increase in area by 100sq.cm. What is the new area of the box?,2600 sq.cm.,3600 sq.cm.,3200 sq.cm.,2600 sq.cm.,2500 sq.cm.,,
129,  A field with equal sides of 40m is full of grass. One cow is tied to each corner of the field by a rope of 14m. How much grass will not be eaten by those 4 cows?,984 sq.m,984 sq.m,1056 sq.m,1224 sq.m,856 sq.m,,
130,  Length of a rectangle is 12cm more than its breadth and it has a perimeter of 200cm. What will be diameter of a circle whose area matches the area of this rectangle?,56 cm,44 cm,56 cm,28 cm,45 cm,,
131,  A semicircle of 8 cm diameter has 3 equilateral triangles inscribed within it. What is the total area of the triangles?,432 sq.cm.,72 sq.cm.,192 sq.cm.,432 sq.cm.,122 sq.cm.,,
132,"  A man walks entirely around his semi-circular garden. What is the area of his garden, if he walks 324m?",6237 sq.m.,18 sq. m.,6237 sq.m.,5248 sq. m.,5368 sq. m.,,
133,  A rectangular margin has a length of 48cm and a total area of 840 sq.cm. The area becomes 2(6/7) times the initial area by just increasing the breadth. How much is the perimeter of the,1.96 m,1.69 m,1.85 m,1.96 m,2.25 m,,
134,"  A triangular ground has 8km, 10km and 6km as its sides. It is to be painted at the rate of Rs. 8 per sq.km. How much will it cost?",Rs. 192,Rs. 256,Rs. 3840,Rs. 384,Rs. 192,,
135,"  A wooden rectangular plank has dimensions 12m and 6 m. Three circular portions are cut from the plank having diameters 2m, 2m and 1m.How much area of the plank remains?",(288-9Ï€)/4 sq.m.,(288-9Ï€)/3 sq.m.,(288-3Ï€)/4 sq.m.,(72-9Ï€)/4 sq.m.,(288-9Ï€)/4 sq.m.,,
136,"  If a circle and a square have the same area, then what will be the perimeter of the square, if diameter of the circle is 8 cm.",16Ï€,4Ï€,32,4Ï€,16Ï€,,
137,  Ramesh runs along a circular park every day at a speed of 60m/min. One day he runs along the diameter with same speed and crosses the park. He needed 60 minutes less to cross the park. What is the radius of the park?,1680 m,1680 m,3600 m,1750 m,1530 m,,
138,  A plot has a concrete path within its borders on all sides having uniform width of 4m. The plot is rectangular with sides 20m and 15m. Charge of removing concrete is Rs. 6 per sq.m. How much is spent in removing all the concrete?,Rs. 1296,Rs. 1548,Rs. 1296,Rs. 1500,Rs. 1083,,
139,"  The least common multiple of two numbers is 168 and highest common factor of them is 12. If the difference between the numbers is 60, what is the sum of the numbers?",108,108,96,122,144,,
140,"  The L.C.M. of two numbers is 14560 and their H.C.F. is 13. If one of them is 416, the other is",455,460,455,450,445,,
141,"  What least number when divided by 36, 24 and 16 leaves 11 as remainder in each case?",155,36,133,144,155,,
142,"  What greatest number divides 17, 42 and 93 and leaves remainders 4, 3 and 15, respectively?",13,89,78,13,17,,
143,"  The L.C.M. Of 2, 2.7 and 0.09 is:",54,5.4,0.54,0.054,54,,
144,"  3 bells beep at an interval of 12, 20, and 35 minutes. If they beep together at 10 a.m., then they will again beep together at:",5 p.m.,12 p.m.,1 p.m.,4 p.m.,5 p.m.,,
145,"  The least number which is a multiple of 11 and when divided by 3, 5 and 9 leaves 2 as remainder:",407,297,319,407,None of these,,
146,"  LCM of two numbers is 495. HCF of these numbers is 5. If the sum of the numbers is 100, find out the difference between the two numbers.",10,15,12,10,20,,
147,  Greatest Common Divisor of two numbers is 8 while their Least Common Multiple is 144. Find the other number if one number is 16.,72,108,96,72,36,,
148,  LCM of two numbers is 138. But their GCD is 23. The numbers are in a ratio 1:6. Which is the largest number amongst the two?,138,46,138,69,23,,
149,  If least common multiple of two numbers is 225 and the highest common factor is 5 then find the numbers when one of the numbers is 25?,45,75,65,15,45,,
150,"  The greatest number of four digits which is divisible by 15, 25, 40, 75 is",9600,600,9000,9600,9400,,
151,"  What is the least number which when divided by the numbers 3, 5, 6, 8, 10 and 12 leaves in each case a remainder 2 but which when divided by 13 leaves no remainder?",1586,312,962,1586,1562,,
152,  When a number is divided by 893 the remainder is 193. What will be the remainder when it is divided by 47?,5,19,5,33,23,,
153,  The sum of two numbers is 156 and their HCF is 13. The numbers of such number pairs is,2,2,5,4,3,,
154,"  The greatest length of the scale that can measure exactly 30 cm, 90 cm, 1 m 20 cm and 1 m 35 cm lengths is",15cm,5 cm,10 cm,15cm,30 cm,,
155,"  What will be least number of marbles with Rohit if he can arrange them in rows of 18, 10 and 15 marbles each as well as make a perfect solid square out of all the marbles?",900,133,43,90,900,,
156,"  What least possible 4-digit number, when divided by 12, 16, 18 and 20 leaves 21 as remainder?",1461,36,133,144,1461,,
157,"  5 clocks ring automatically at intervals of 12 minutes, 8 minutes, 3 minutes, 4 minutes and 10 minutes, respectively. In 8 hours from the moment they start, how many times will they ring together?",4 times,12 times,5 times,3 times,4 times,,
158,"  What least number when divided by 20, 48 and 36 leaves the remainders 13, 41 and 29, respectively?",713,720,713,727,187,,
159,"  There are 3 equilateral triangles with sides 114cm, 76cm and 152 cm. What maximum size scale can measure them exactly?",38 cm,19 cm,21 cm,38 cm,None of the above,,
160,"  What largest number will divide 47, 35 and 27 leaving same remainder in each case? What will be the common remainder?","4, 3","9, 1","1, 9","4, 3","3, 4",,
161,"  What is HCF of  36/75, 48/150 , 72/135?",12/1350,12/1350,150/36,1350/36,72/225,,
162,  Rajesh had to arrange his books in uniform groups. He makes groups of 4 books each. But 3 books are left. He tries it with groups of 5 books each. But still 3 books are left. 3 books are still left when he tried with groups of 9 or 10 books each. How many books does he have?,183,90,180,900,183,,
163,  HCF and LCM of two numbers is 8 and 96. Sum of those numbers is 56. Then what is sum of their reciprocals?,7/96,1/56,7/96,1/96,1/8,,
164,"  What is LCM of  36/225, 48/150 , 72/65 ?",144/5,36/65,144/5,72/225,288/5,,
165,"  The ratio of two numbers is 5 : 6 and their LCM is 480, then their HCF is?",16,16,96,12,240,,
166,  The length and breadth of a rectangular floor are 16.25 metre and 12.75 metre respectively. Find how many minimum number of square tiles would be required to cover it completely?,3315,375,2570,2800,3315,,
167,"  3 birds fly along the circumference of a jungle. They complete one round in 27 minutes, 45 minutes and 63 minutes respectively. Since they start together, when will they meet again at the starting position?",945 minutes,945 minutes,126 minutes,135 minutes,9 hours,,
168,"  If (x - 4) is the HCF of x^2 - 8x + 15 and x^2 - kx +1 , then what is k?",4,8/15,4,5,15/8,,
169,  Tom wants to paste wallpaper on wall. The wall is 4.5m in length and 3.50m in height. But the wall should be covered completely only by square pieces of wallpaper having same size. What is the number of maximum sized wallpaper squares needed to cover the walls completely?,63,8,15.75,63,12,,
170,"  Find the least number which should be added to 2430 so that the sum is exactly divisible by 5, 4 and 2",10,3,10,13,33,,
171,  Rohan's age is five times Ajayâ€™s and seven-eighteenth of Meenaâ€™s age. The sum of the ages of all three of them is 132 years. How much younger is Ajay to Meena?,83 years,56 years,83 years,27 years,Cannot be determined,,
172,"  Ram and Shyamâ€™s average age is 65 years. The average age of Ram, Shyam and John is 53 years. What is the age of John?",29 years,29 years,31 years,59 years,45 years,,
173,"  The present ages of Aman and Nina are 59 and 37 years, respectively. What was the ratio of the ages of Nina and Aman 13 years ago?",12:23,3:2,46:25,12:23,8:3,,
174,  Total age of A and B is 12 years more than the total age of B and C. By how many years is C younger than A?,12 years,12 years,24 years,Data insufficient,None of these,,
175,  The average age of 10 students and their teacher is 15 years. The average age of the first seven students is 15 yr and that of the last three is 11 yr. What is the teacher's age?,27 years,33 years,30 years,27 years,24 years,,
176,  Rohan is as much younger than Ajay as he is older than Meena. The sum of ages of Ajay and Meena is 108 years. How old is Rohan?,52 years,32 years,64 years,52 years,36 years,,
177,"  Average age of a family of 4 members was 19 years, 4 years back. Birth of a new child kept the average age of the family same even today. How old is the child today?",3 years,4 years,1 year,2 years,3 years,,
178,"  12 years ago, age of P was 3 times the age of Q. After 12 years, ratio of ages of Q to P will be 2:3. What is the present age of P?",36 years,54 years,36 years,24 years,144 years,,
